geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000122970,-0.33892719834478835,1.2618699264921232,-3.1362522529740176,0.008862515944400443,0.030132554210961504,-3.3944434127894976,TB,down
ENSG00000169193,0.22532388453344032,3.013704016179118,3.1360758697331446,0.00886538233194772,0.03013432788420844,-3.3947662788401884,TB,up
ENSG00000113194,0.18126621576169646,6.173424971190912,3.1355783050953963,0.008873473244257114,0.030153854610045595,-3.3956770535968777,TB,up
ENSG00000172301,-0.14816852034075237,6.052153835930418,-3.133423754973656,0.008908594403595349,0.03026520097145319,-3.3996207539569063,TB,down
ENSG00000171492,-0.36653398000232956,5.451613805131412,-3.133218754770702,0.008911943385765822,0.030266752941668782,-3.3999959765142456,TB,down
ENSG00000112306,0.13973110179378237,7.3389786777623565,3.1331075094894167,0.008913761273281695,0.030266752941668782,-3.400199593752879,TB,up
ENSG00000067560,0.10708030981152648,9.25733731347013,3.132052727412707,0.00893101631365571,0.03031733271608642,-3.402130180827018,TB,up
ENSG00000163608,0.12684618542117265,4.817490098488805,3.1317119378057945,0.008936598436066624,0.030328271217409098,-3.4027539234846076,TB,up
ENSG00000185920,-0.794713295540888,0.3201493196409747,-3.1302346128308756,0.008960837648470938,0.03039958264844812,-3.405457790137021,TB,down
ENSG00000179715,-0.5086157650205649,3.8791680266419473,-3.1301430622099797,0.00896234194327497,0.03039958264844812,-3.405625346906407,TB,down
ENSG00000114554,0.19795191654938837,7.828743047577,3.129789811289308,0.008968148696814641,0.03041125252017461,-3.4062718663001617,TB,up
ENSG00000198938,0.2051932990951934,9.90515784203704,3.129620658334997,0.008970930582129272,0.030412661525066054,-3.406581447789905,TB,up
ENSG00000139579,-0.2023462251446432,3.846142362845679,-3.1294285768164287,0.008974090604194435,0.03041535138320329,-3.406932991233015,TB,down
ENSG00000118292,0.3803691755644867,3.4245385041450436,3.1277117130464442,0.009002385380023665,0.03050320508939208,-3.4100750823726798,TB,up
ENSG00000126767,0.26451587077307975,6.1610026026966365,3.127348662458551,0.009008380138075511,0.030515472202041767,-3.4107394961512085,TB,up
ENSG00000102531,0.21076992158301358,7.383690781821217,3.1271800218632273,0.009011166130274608,0.030516866167665156,-3.411048120846639,TB,up
ENSG00000074319,0.15463946549863572,5.764723593649369,3.1268484172958586,0.009016646866789801,0.03052738291148117,-3.4116549777316263,TB,up
ENSG00000166398,0.11790249336592468,5.141336124324532,3.126535841148139,0.009021816177414608,0.03053684000846261,-3.412227006730532,TB,up
ENSG00000104946,0.21544122126664844,4.374878553573358,3.1261541877512196,0.009028131919371591,0.03055017151863183,-3.412925444138685,TB,up
ENSG00000197599,-0.5474433550860068,0.39914414972920303,-3.1254883231016946,0.009039161560056201,0.03057944310867131,-3.4141439805077107,TB,down
ENSG00000180357,-0.15825492307929903,6.737777214193674,-3.125097008012198,0.009045649786426762,0.030593339751357036,-3.4148600797974704,TB,down
ENSG00000164649,-0.4996810673351846,4.329491089690307,-3.1243341997147844,0.009058311069500868,0.030628101516765364,-3.4162559839861633,TB,down
ENSG00000196778,1.7604592821917828,-1.8424355176457305,3.1230471965811675,0.009079713548571563,0.0306923930894902,-3.418611078373884,TB,up
ENSG00000196262,0.13148807638162024,7.63307780576063,3.122185595947801,0.009094070166011086,0.030732839803727183,-3.4201876823938555,TB,up
ENSG00000006534,-0.2222838580533385,6.698497624035648,-3.122015888436639,0.009096900650217447,0.03073432364789554,-3.4204982183265784,TB,down
ENSG00000189129,-0.6049137381262102,2.4197474353404957,-3.1212727360564787,0.009109305847213598,0.030761456948604837,-3.4218580448287805,TB,down
ENSG00000130368,1.181111490171358,0.30995609708682564,3.1212480190764746,0.009109718732212108,0.030761456948604837,-3.4219032717142324,TB,up
ENSG00000100997,-0.16072059767387126,6.911762843746503,-3.1210444997180566,0.009113119139622533,0.030764856102555502,-3.422275668311545,TB,down
ENSG00000146707,0.42641522301171336,2.055093870776272,3.1206994506570482,0.009118887150535682,0.030776244133057927,-3.4229070292546804,TB,up
ENSG00000146476,0.16770980319155515,4.939538579116712,3.120231162091838,0.00912672117545083,0.03078738321260965,-3.4237638812016638,TB,up
ENSG00000168040,-0.17985456283484788,4.599326105457106,-3.120215776102554,0.009126978683476717,0.03078738321260965,-3.4237920335679908,TB,down
ENSG00000112079,-0.2604648290694071,5.701651150018564,-3.119917596449681,0.009131970620509822,0.030796139179950728,-3.424337622681553,TB,down
ENSG00000105887,0.1476823186620478,7.829030969702702,3.119564128161892,0.009137891726988452,0.030808023209668307,-3.424984369688541,TB,up
ENSG00000257727,-0.4264251566534214,2.1456682099676216,-3.118978625097494,0.00914770826008747,0.030833030831010796,-3.4260556614732094,TB,down
ENSG00000071539,-0.5262430809028779,-0.7142786422124948,-3.11839283232528,0.009157540278046756,0.03085586908837865,-3.42712746676904,TB,down
ENSG00000204851,-0.9820802891216056,-0.5580813808414046,-3.1182889025817704,0.00915928575880521,0.03085586908837865,-3.4273176217848453,TB,down
ENSG00000141873,-0.26067894481024584,3.859887370760338,-3.1173846988068368,0.00917448583719356,0.03089897588564246,-3.428971975781795,TB,down
ENSG00000068354,-0.23708864457530013,3.4262343621456752,-3.116750614565462,0.00918516023232689,0.030926821929752473,-3.430132088578621,TB,down
ENSG00000137547,-0.20080990081168665,4.973319850877538,-3.115681572698705,0.00920318517878653,0.03097939652115361,-3.4320879501445263,TB,down
ENSG00000163882,0.21385571064655082,3.6738380774517823,3.1141592949870174,0.00922891354739013,0.031055083385142953,-3.434872931035458,TB,up
ENSG00000113407,0.22447043944096126,6.771606906725911,3.1140654192710424,0.009230502531220517,0.031055083385142953,-3.435044671312945,TB,up
ENSG00000138175,-0.19324241279875407,2.7425543160902386,-3.113547784224994,0.009239269209803154,0.031076442785760307,-3.435991647351965,TB,down
ENSG00000168116,-0.27082525778708466,2.4241969578753317,-3.1132044036841786,0.00924508933460004,0.03108788281744629,-3.4366198300222663,TB,down
ENSG00000106526,-0.5158685465158287,1.1484346955859321,-3.1125853636450023,0.0092555910740353,0.03111505531872918,-3.437752291291268,TB,down
ENSG00000198898,0.16846698537104515,7.325611441289811,3.111695297024565,0.009270711710666443,0.031157737161476236,-3.4393805306369094,TB,up
ENSG00000163807,-0.1913520279847593,4.022047385147223,-3.1090695953939127,0.009315462717857171,0.0312999547320001,-3.4441836157388672,TB,down
