module,AM10_MDM_Media,AM10_MDM_TB,AM12_MDM_Media,AM12_MDM_TB,AM15_MDM_Media,AM15_MDM_TB,AM17_MDM_Media,AM17_MDM_TB,AM18_MDM_Media,AM18_MDM_TB,AM19_MDM_Media,AM19_MDM_TB
module_MDM_00,1.715225462098438,1.3817764513793234,1.6415004341092159,1.6636090193600395,1.7110103243827697,1.5377041468561747,1.8562371627920307,1.4035575206399868,1.444132662865786,1.4851442738891414,1.539200293664644,1.2837050120155646
module_MDM_01,4.79054209918282,5.551464281701308,4.609992002791167,5.779429707839319,4.481428743126632,6.214843858535666,4.666739060541008,5.752173213266968,4.548018168393948,6.25374936599432,4.602459561685872,6.029146633723559
module_MDM_02,3.889103094943097,3.3310494340586776,4.053372182880468,3.2241898910722124,4.50653894654387,3.301934523761723,4.225810905489492,3.5206866660388374,4.33291176699378,3.043457100433118,4.252312127047955,3.178232078677883
module_MDM_03,4.903059253964113,5.329843347670147,4.529436611715347,5.034544827742133,3.7548963451824022,4.817308552496079,4.227293496770864,4.762394985284005,4.032899211156121,4.953047143493423,4.070283875745918,4.847613153409947
module_MDM_04,3.9539617434407557,3.4125451069761445,4.2547023635174455,3.7355937185508177,5.047556702648863,4.256422331862283,4.631413204682784,4.1200338380434065,4.803205965662478,3.985851614528864,4.75334787465445,4.056816185676166
module_MDM_05,4.0109842962868685,3.6195463802444756,3.5788566202490286,2.980597588809735,3.2611511968857614,2.4699529884569222,3.4123119054588957,2.8500790826102906,3.409518680401278,2.4830592258283066,3.381893613530324,2.638103013865281
module_MDM_06,2.934293346005806,2.338871105374275,3.467843704160146,2.8992400417126856,3.1835417615747583,2.2842729323505098,3.0774145986415378,2.4887017994821075,2.981584423458789,1.9161149019118198,3.1644913927535248,2.3056443430734945
module_MDM_07,3.3616440702312786,4.054109757500058,4.176416581706536,4.930117456730867,3.298366886326207,4.498016930561559,3.182456221773775,4.138755339062779,2.9881633103596017,4.407426928548286,3.23808401034533,4.271189772769298
module_MDM_08,4.0957858223810195,4.593734007318428,4.725141764318251,5.27372447047832,4.977815173670502,5.711741164887453,4.752051684551586,5.33553442970327,4.745431094751242,5.680725195004171,4.859795334748233,5.538961671894291
module_MDM_09,3.0834297895294362,2.4508970833891035,3.975427060710598,3.3853622323422052,4.161575788310402,3.2830655958242514,3.589340224386137,2.9084019321435735,3.7479919393957877,2.8209339697894276,3.8040247861942462,2.953943999004822
module_MDM_10,4.295693415146323,3.9107661488225465,3.6504872996046163,3.0959374168130895,4.031634657145277,3.271225899967821,4.25800513329247,3.7803042449472692,4.178270429745499,3.2146932196228435,4.170895326569018,3.5070662034476543
module_MDM_11,4.282556099026576,4.815144460743727,3.710965815527591,4.200883436827907,4.080092713679165,4.856186755838776,4.096783595358759,4.480809783172212,4.271719228098686,5.1021142098506544,4.151232737838282,4.87197433888803
module_MDM_12,3.107087534409259,2.811894606178613,2.7404638804510872,2.094550253360333,3.4315953409525055,2.8722218145936917,3.088558241476317,2.406760590247337,3.3324738688056983,2.597118038622857,3.1122122954340927,2.5988472457865974
module_MDM_13,2.120997160708911,1.625164815293529,2.0536727970154365,1.5242296113034721,2.1331399368889703,0.3660223970050728,2.053270594467467,1.433523709757619,2.4801110245903057,1.630179554032836,2.188670793120335,1.4638088207295668
module_MDM_14,5.406567959876202,5.760707640591534,3.9708966093648894,5.410166815886008,3.712998663570459,5.317784262409035,4.909033250758479,5.491758547244057,4.841077152301853,5.59313443586449,4.6103342076086244,5.417167573235671
module_MDM_15,3.3713253217517636,3.1653737835060305,3.524590181095322,2.586340222241615,3.567501066303059,2.8904497145718615,3.3980862507604086,3.0964348291904216,3.5162539116355447,3.1067792580592366,3.586617848002931,3.243000133506222
