MDM.1,MDM.2,MDM.3,MDM.4,MDM.5,MDM.6,MDM.7,MDM.8,MDM.9,MDM.10,MDM.11,MDM.12,MDM.13,MDM.14,MDM.15,MDM.16
ENSG00000189266,ENSG00000182749,ENSG00000158747,ENSG00000132122,ENSG00000123080,ENSG00000162836,ENSG00000197956,ENSG00000271383,ENSG00000082512,ENSG00000264343,ENSG00000169621,ENSG00000197557,ENSG00000196812,ENSG00000164023,ENSG00000155034,
ENSG00000188529,ENSG00000117632,ENSG00000204160,ENSG00000085832,ENSG00000162384,ENSG00000184260,ENSG00000143575,ENSG00000163220,ENSG00000154305,ENSG00000143452,ENSG00000197121,ENSG00000204311,ENSG00000204564,ENSG00000079215,ENSG00000015676,
ENSG00000133226,ENSG00000158006,ENSG00000158161,ENSG00000121310,ENSG00000117155,ENSG00000143457,ENSG00000185499,ENSG00000160710,ENSG00000197520,ENSG00000143409,ENSG00000115896,ENSG00000162944,ENSG00000170899,ENSG00000172062,ENSG00000127980,
ENSG00000169504,ENSG00000117713,ENSG00000160050,ENSG00000116171,ENSG00000156876,ENSG00000143458,ENSG00000027869,ENSG00000163374,ENSG00000179456,ENSG00000159409,ENSG00000154252,ENSG00000226124,ENSG00000183137,ENSG00000124789,ENSG00000004948,
ENSG00000186501,ENSG00000188060,ENSG00000084623,ENSG00000211452,ENSG00000121957,ENSG00000163348,ENSG00000160856,ENSG00000158859,ENSG00000162849,ENSG00000143614,ENSG00000114302,ENSG00000240344,ENSG00000111816,ENSG00000111886,ENSG00000196636,
ENSG00000181773,ENSG00000121775,ENSG00000126067,ENSG00000116729,ENSG00000168679,ENSG00000169231,ENSG00000158869,ENSG00000143226,ENSG00000143869,ENSG00000163344,ENSG00000162244,ENSG00000155749,ENSG00000111875,ENSG00000085377,ENSG00000184083,
ENSG00000117758,ENSG00000225828,ENSG00000116871,ENSG00000254685,ENSG00000143105,ENSG00000163564,ENSG00000158874,ENSG00000173110,ENSG00000213699,ENSG00000162736,ENSG00000168237,ENSG00000124006,ENSG00000157999,ENSG00000130368,ENSG00000196338,
ENSG00000117751,ENSG00000162521,ENSG00000185090,ENSG00000065243,ENSG00000116455,ENSG00000158716,ENSG00000094975,ENSG00000118217,ENSG00000171094,ENSG00000066294,ENSG00000163378,ENSG00000156959,ENSG00000164742,ENSG00000058091,ENSG00000158301,
ENSG00000130775,ENSG00000116497,ENSG00000183520,ENSG00000143126,ENSG00000134242,ENSG00000122223,ENSG00000159166,ENSG00000120337,ENSG00000143952,ENSG00000158864,ENSG00000221955,ENSG00000157017,ENSG00000172336,ENSG00000071243,ENSG00000018610,
ENSG00000126698,ENSG00000160097,ENSG00000131236,ENSG00000156171,ENSG00000184270,ENSG00000143257,ENSG00000122188,ENSG00000058085,ENSG00000168890,ENSG00000158882,ENSG00000152492,ENSG00000144560,ENSG00000222011,ENSG00000146963,ENSG00000168522,
ENSG00000162419,ENSG00000160094,ENSG00000171793,ENSG00000155363,ENSG00000143374,ENSG00000143190,ENSG00000197721,ENSG00000143344,ENSG00000125618,ENSG00000143252,ENSG00000114503,ENSG00000145020,ENSG00000205085,ENSG00000175556,ENSG00000156172,
ENSG00000198492,ENSG00000197056,ENSG00000171790,ENSG00000196505,ENSG00000143624,ENSG00000143156,ENSG00000065600,ENSG00000177888,ENSG00000115112,ENSG00000000460,ENSG00000168826,ENSG00000173531,ENSG00000128596,ENSG00000196924,ENSG00000198000,
ENSG00000162517,ENSG00000116885,ENSG00000117395,ENSG00000131779,ENSG00000160685,ENSG00000197959,ENSG00000143507,ENSG00000118197,ENSG00000075886,ENSG00000077157,ENSG00000179010,ENSG00000157445,ENSG00000146856,ENSG00000154359,ENSG00000155827,
ENSG00000121774,ENSG00000084072,ENSG00000142949,ENSG00000265972,ENSG00000163462,ENSG00000120333,ENSG00000143498,ENSG00000183155,ENSG00000073734,ENSG00000058668,ENSG00000186222,ENSG00000057019,ENSG00000176896,ENSG00000147439,ENSG00000238227,
ENSG00000025800,ENSG00000187815,ENSG00000132768,ENSG00000263956,ENSG00000132718,ENSG00000230124,ENSG00000162909,ENSG00000117153,ENSG00000115935,ENSG00000054392,ENSG00000132467,ENSG00000196455,ENSG00000070718,ENSG00000169439,ENSG00000244187,
ENSG00000084652,ENSG00000117016,ENSG00000117410,ENSG00000270629,ENSG00000162739,ENSG00000198860,ENSG00000071575,ENSG00000159346,ENSG00000115232,ENSG00000168159,ENSG00000132463,ENSG00000014257,ENSG00000180938,ENSG00000164919,ENSG00000110237,
ENSG00000116514,ENSG00000066185,ENSG00000222009,ENSG00000159208,ENSG00000186517,ENSG00000143858,ENSG00000115128,ENSG00000058673,ENSG00000144406,ENSG00000035115,ENSG00000198301,ENSG00000120756,ENSG00000071894,ENSG00000131773,ENSG00000165494,
ENSG00000163866,ENSG00000164010,ENSG00000162415,ENSG00000143437,ENSG00000132196,ENSG00000163444,ENSG00000119777,ENSG00000136634,ENSG00000163516,ENSG00000172954,ENSG00000138639,ENSG00000181744,ENSG00000164967,ENSG00000147883,ENSG00000165568,
ENSG00000116560,ENSG00000164011,ENSG00000085998,ENSG00000143442,ENSG00000120334,ENSG00000163545,ENSG00000213626,ENSG00000142224,ENSG00000226321,ENSG00000013016,ENSG00000109339,ENSG00000185798,ENSG00000197816,ENSG00000137094,ENSG00000169740,
ENSG00000020129,ENSG00000117408,ENSG00000173660,ENSG00000143450,ENSG00000117593,ENSG00000143494,ENSG00000138061,ENSG00000136630,ENSG00000180902,ENSG00000162881,ENSG00000177432,ENSG00000272602,ENSG00000119397,ENSG00000119508,ENSG00000095539,
ENSG00000116863,ENSG00000159214,ENSG00000162368,ENSG00000182134,ENSG00000159176,ENSG00000162813,ENSG00000068878,ENSG00000163041,ENSG00000174738,ENSG00000115306,ENSG00000145331,ENSG00000131127,ENSG00000160404,ENSG00000119326,ENSG00000198924,
ENSG00000214193,ENSG00000117425,ENSG00000157077,ENSG00000163346,ENSG00000143842,ENSG00000143815,ENSG00000028116,ENSG00000182827,ENSG00000206559,ENSG00000014641,ENSG00000145365,ENSG00000185049,ENSG00000160539,ENSG00000148339,ENSG00000166153,
ENSG00000196182,ENSG00000126107,ENSG00000157193,ENSG00000158473,ENSG00000069275,ENSG00000162910,ENSG00000115464,ENSG00000116574,ENSG00000114857,ENSG00000115325,ENSG00000151611,ENSG00000170891,ENSG00000177239,ENSG00000149187,ENSG00000151148,
ENSG00000163874,ENSG00000070759,ENSG00000243725,ENSG00000163565,ENSG00000117724,ENSG00000135775,ENSG00000138069,ENSG00000116962,ENSG00000233276,ENSG00000115486,ENSG00000129187,ENSG00000163257,ENSG00000121690,ENSG00000149218,ENSG00000259431,
ENSG00000163877,ENSG00000117461,ENSG00000185483,ENSG00000158793,ENSG00000067704,ENSG00000173409,ENSG00000198380,ENSG00000182551,ENSG00000168273,ENSG00000144021,ENSG00000151718,ENSG00000157426,ENSG00000162194,ENSG00000165757,ENSG00000119596,
ENSG00000134697,ENSG00000123472,ENSG00000116675,ENSG00000158887,ENSG00000186205,ENSG00000185420,ENSG00000115523,ENSG00000197872,ENSG00000016391,ENSG00000144028,ENSG00000164292,ENSG00000172493,ENSG00000149823,ENSG00000120616,ENSG00000165948,
ENSG00000196449,ENSG00000162378,ENSG00000118454,ENSG00000143149,ENSG00000143748,ENSG00000143653,ENSG00000115514,ENSG00000143878,ENSG00000180376,ENSG00000173272,ENSG00000177733,ENSG00000145391,ENSG00000178301,ENSG00000138119,ENSG00000126215,
ENSG00000197982,ENSG00000116205,ENSG00000117133,ENSG00000000457,ENSG00000183814,ENSG00000189292,ENSG00000071054,ENSG00000173960,ENSG00000174500,ENSG00000115365,ENSG00000186314,ENSG00000164142,ENSG00000166321,ENSG00000148841,ENSG00000198690,
ENSG00000188786,ENSG00000215883,ENSG00000162692,ENSG00000076258,ENSG00000143799,ENSG00000084731,ENSG00000115607,ENSG00000084676,ENSG00000072858,ENSG00000182600,ENSG00000070808,ENSG00000164144,ENSG00000120049,ENSG00000151929,ENSG00000128973,
ENSG00000174574,ENSG00000162391,ENSG00000143106,ENSG00000143337,ENSG00000143793,ENSG00000138030,ENSG00000186522,ENSG00000152683,ENSG00000114670,ENSG00000144455,ENSG00000155868,ENSG00000154447,ENSG00000139190,ENSG00000132334,ENSG00000103227,
ENSG00000168389,ENSG00000184313,ENSG00000162650,ENSG00000135823,ENSG00000154358,ENSG00000143994,ENSG00000198142,ENSG00000163171,ENSG00000144893,ENSG00000197548,ENSG00000213347,ENSG00000164106,ENSG00000175548,ENSG00000070018,ENSG00000167972,
