MDM.1,MDM.2,MDM.3,MDM.4,MDM.5,MDM.6,MDM.7,MDM.8,MDM.9,MDM.10,MDM.11,MDM.12,MDM.13,MDM.14,MDM.15,MDM.16
ENSG00000177272,ENSG00000143224,ENSG00000018699,ENSG00000172845,ENSG00000115687,ENSG00000163687,ENSG00000213949,ENSG00000145425,ENSG00000012211,ENSG00000112146,ENSG00000110446,ENSG00000212124,,,,
ENSG00000064886,ENSG00000152382,ENSG00000115828,ENSG00000163328,ENSG00000115685,ENSG00000206530,ENSG00000164182,ENSG00000109654,ENSG00000173198,ENSG00000082269,ENSG00000166266,ENSG00000151491,,,,
ENSG00000116489,ENSG00000185278,ENSG00000183023,ENSG00000138449,ENSG00000156983,ENSG00000173200,ENSG00000198780,ENSG00000153395,ENSG00000157514,ENSG00000118407,ENSG00000095739,ENSG00000174233,,,,
ENSG00000163349,ENSG00000152061,ENSG00000138035,ENSG00000196950,ENSG00000163703,ENSG00000180767,ENSG00000118985,ENSG00000113638,ENSG00000125352,ENSG00000130347,ENSG00000155256,ENSG00000050426,,,,
ENSG00000213281,ENSG00000116161,ENSG00000115484,ENSG00000003400,ENSG00000132182,ENSG00000180697,ENSG00000134970,ENSG00000067113,ENSG00000147394,ENSG00000130349,ENSG00000182022,ENSG00000139631,,,,
ENSG00000143061,ENSG00000135835,ENSG00000198369,ENSG00000082146,ENSG00000144596,ENSG00000132394,ENSG00000197208,ENSG00000145632,ENSG00000126895,ENSG00000155085,ENSG00000089693,ENSG00000180881,,,,
ENSG00000143067,ENSG00000150681,ENSG00000115946,ENSG00000003393,ENSG00000152642,ENSG00000070087,ENSG00000197536,ENSG00000153006,ENSG00000197892,ENSG00000130363,ENSG00000003056,ENSG00000120837,,,,
ENSG00000265491,ENSG00000133056,ENSG00000143977,ENSG00000118260,ENSG00000114648,ENSG00000169860,ENSG00000155329,ENSG00000113597,ENSG00000177669,ENSG00000177706,ENSG00000060138,ENSG00000088992,,,,
ENSG00000265241,ENSG00000143486,ENSG00000135624,ENSG00000144407,ENSG00000164051,ENSG00000173890,ENSG00000120708,ENSG00000112851,ENSG00000147647,ENSG00000146540,ENSG00000213782,ENSG00000089159,,,,
ENSG00000178104,ENSG00000123836,ENSG00000153563,ENSG00000144579,ENSG00000164062,ENSG00000175193,ENSG00000228672,ENSG00000132842,ENSG00000156831,ENSG00000086232,ENSG00000135404,ENSG00000175970,,,,
ENSG00000143368,ENSG00000117625,ENSG00000158417,ENSG00000144567,ENSG00000004838,ENSG00000173950,ENSG00000113716,ENSG00000113369,ENSG00000181638,ENSG00000122574,ENSG00000229117,ENSG00000139719,,,,
ENSG00000023902,ENSG00000170385,ENSG00000170485,ENSG00000163521,ENSG00000164086,ENSG00000250312,ENSG00000113721,ENSG00000153113,ENSG00000187954,ENSG00000152926,ENSG00000181852,ENSG00000214029,,,,
ENSG00000117360,ENSG00000117697,ENSG00000144136,ENSG00000153832,ENSG00000164088,ENSG00000182903,ENSG00000171992,ENSG00000176087,ENSG00000198169,ENSG00000157259,ENSG00000123427,ENSG00000123191,,,,
ENSG00000143384,ENSG00000143499,ENSG00000136695,ENSG00000162804,ENSG00000010319,ENSG00000159788,ENSG00000145908,ENSG00000113272,ENSG00000171843,ENSG00000105851,ENSG00000075415,ENSG00000100814,,,,
ENSG00000143420,ENSG00000154309,ENSG00000136689,ENSG00000113851,ENSG00000163947,ENSG00000072840,ENSG00000177556,ENSG00000122203,ENSG00000184434,ENSG00000128573,ENSG00000151131,ENSG00000119669,,,,
ENSG00000197622,ENSG00000187554,ENSG00000144118,ENSG00000196220,ENSG00000239388,ENSG00000072832,ENSG00000113263,ENSG00000131188,ENSG00000106733,ENSG00000164707,ENSG00000150459,ENSG00000100722,,,,
ENSG00000143398,ENSG00000163050,ENSG00000155438,ENSG00000144550,ENSG00000168306,ENSG00000109819,ENSG00000135074,ENSG00000137275,ENSG00000134996,ENSG00000106123,ENSG00000151835,ENSG00000166855,,,,
ENSG00000159352,ENSG00000162931,ENSG00000163166,ENSG00000177463,ENSG00000144827,ENSG00000169019,ENSG00000164330,ENSG00000168994,ENSG00000157303,ENSG00000159784,ENSG00000139597,ENSG00000178802,,,,
ENSG00000159377,ENSG00000168118,ENSG00000169994,ENSG00000169814,ENSG00000163611,ENSG00000145244,ENSG00000175416,ENSG00000112137,ENSG00000119431,ENSG00000197362,ENSG00000188342,ENSG00000122386,,,,
ENSG00000159450,ENSG00000154429,ENSG00000144231,ENSG00000154822,ENSG00000082781,ENSG00000189157,ENSG00000087206,ENSG00000007944,ENSG00000157693,ENSG00000196456,ENSG00000065150,ENSG00000174628,,,,
ENSG00000160741,ENSG00000069248,ENSG00000136718,ENSG00000077097,ENSG00000070476,ENSG00000173085,ENSG00000169223,ENSG00000111802,ENSG00000136856,ENSG00000174010,ENSG00000134871,ENSG00000183549,,,,
ENSG00000143570,ENSG00000177614,ENSG00000157827,ENSG00000170275,ENSG00000073111,ENSG00000170502,ENSG00000198055,ENSG00000204642,ENSG00000196152,ENSG00000065923,ENSG00000213741,ENSG00000155393,,,,
ENSG00000143612,ENSG00000162946,ENSG00000115159,ENSG00000114739,ENSG00000114054,ENSG00000145335,ENSG00000145911,ENSG00000204632,ENSG00000160446,ENSG00000147155,ENSG00000198513,ENSG00000083457,,,,
ENSG00000160712,ENSG00000059588,ENSG00000054219,ENSG00000114745,ENSG00000066405,ENSG00000168785,ENSG00000127022,ENSG00000234127,ENSG00000148400,ENSG00000179222,ENSG00000029364,ENSG00000198920,,,,
ENSG00000160714,ENSG00000168264,ENSG00000115233,ENSG00000168026,ENSG00000174891,ENSG00000109452,ENSG00000137265,ENSG00000204525,ENSG00000023191,ENSG00000147059,ENSG00000119689,ENSG00000179029,,,,
ENSG00000160691,ENSG00000116984,ENSG00000128708,ENSG00000182606,ENSG00000113810,ENSG00000121210,ENSG00000124786,ENSG00000234745,ENSG00000177685,ENSG00000079482,ENSG00000165417,ENSG00000109016,,,,
ENSG00000169242,ENSG00000162714,ENSG00000138430,ENSG00000144792,ENSG00000171757,ENSG00000250486,ENSG00000145979,ENSG00000243649,ENSG00000177830,ENSG00000172476,ENSG00000166068,ENSG00000198863,,,,
ENSG00000116539,ENSG00000175137,ENSG00000138433,ENSG00000163807,ENSG00000114346,ENSG00000109771,ENSG00000124788,ENSG00000204344,ENSG00000183020,ENSG00000157600,ENSG00000171763,ENSG00000167183,,,,
ENSG00000132676,ENSG00000196208,ENSG00000163002,ENSG00000163818,ENSG00000136521,ENSG00000154124,ENSG00000112763,ENSG00000204287,ENSG00000021762,ENSG00000076770,ENSG00000137876,ENSG00000204323,,,,
ENSG00000143622,ENSG00000151779,ENSG00000128641,ENSG00000178038,ENSG00000078070,ENSG00000133401,ENSG00000182952,ENSG00000112511,ENSG00000133789,ENSG00000179542,ENSG00000128918,ENSG00000266074,,,,
ENSG00000116584,ENSG00000163029,ENSG00000178074,ENSG00000176095,ENSG00000180834,ENSG00000152582,ENSG00000206503,ENSG00000137409,ENSG00000072952,ENSG00000185515,ENSG00000137818,ENSG00000101639,,,,
ENSG00000160789,ENSG00000118965,ENSG00000162972,ENSG00000182179,ENSG00000163961,ENSG00000164187,ENSG00000137312,ENSG00000156508,ENSG00000166326,ENSG00000147316,ENSG00000103811,ENSG00000134490,,,,
ENSG00000196189,ENSG00000118960,ENSG00000055044,ENSG00000114841,ENSG00000161267,ENSG00000152359,ENSG00000204389,ENSG00000135317,ENSG00000135362,ENSG00000079459,ENSG00000006194,ENSG00000125846,,,,
ENSG00000160785,ENSG00000118961,ENSG00000114942,ENSG00000172340,ENSG00000145214,ENSG00000152380,ENSG00000231925,ENSG00000188994,ENSG00000214787,ENSG00000176623,ENSG00000185164,ENSG00000101353,,,,
ENSG00000198952,ENSG00000219626,ENSG00000118246,ENSG00000114861,ENSG00000013810,ENSG00000171444,ENSG00000010030,ENSG00000112182,ENSG00000133315,ENSG00000188343,ENSG00000080603,ENSG00000064655,,,,
ENSG00000125462,ENSG00000119772,ENSG00000118242,ENSG00000138468,ENSG00000109685,ENSG00000164221,ENSG00000198937,ENSG00000057663,ENSG00000175544,ENSG00000104361,ENSG00000197302,ENSG00000101040,,,,
ENSG00000143319,ENSG00000138085,ENSG00000018280,ENSG00000144815,ENSG00000197386,ENSG00000168944,ENSG00000164626,ENSG00000118689,ENSG00000175575,ENSG00000185730,ENSG00000166454,ENSG00000124215,,,,
ENSG00000143321,ENSG00000115204,ENSG00000116120,ENSG00000114439,ENSG00000109501,ENSG00000138829,ENSG00000188056,ENSG00000112290,ENSG00000175564,ENSG00000160959,ENSG00000127804,ENSG00000101191,,,,
ENSG00000143294,ENSG00000138002,ENSG00000123983,ENSG00000138459,ENSG00000151552,ENSG00000164403,ENSG00000164430,ENSG00000188820,ENSG00000137491,ENSG00000120215,ENSG00000185245,ENSG00000099866,,,,
ENSG00000132694,ENSG00000243943,ENSG00000115053,ENSG00000163606,ENSG00000109680,ENSG00000145833,ENSG00000197498,ENSG00000111860,ENSG00000137474,ENSG00000137040,ENSG00000244045,ENSG00000005206,,,,
ENSG00000117036,ENSG00000176714,ENSG00000198612,ENSG00000181722,ENSG00000169299,ENSG00000078795,ENSG00000153989,ENSG00000111897,ENSG00000152404,ENSG00000137145,ENSG00000108702,ENSG00000197256,,,,
ENSG00000163554,ENSG00000163803,ENSG00000132329,ENSG00000138463,ENSG00000163626,ENSG00000170482,ENSG00000112339,ENSG00000135549,ENSG00000118058,ENSG00000186638,ENSG00000125691,ENSG00000197647,,,,
ENSG00000158714,ENSG00000115295,ENSG00000132323,ENSG00000163848,ENSG00000189308,ENSG00000113141,ENSG00000135541,ENSG00000172594,ENSG00000137642,ENSG00000154330,ENSG00000067596,ENSG00000196466,,,,
ENSG00000117090,ENSG00000152689,ENSG00000132326,ENSG00000114626,ENSG00000185477,ENSG00000164620,ENSG00000001036,ENSG00000111962,ENSG00000148488,ENSG00000175787,ENSG00000154262,ENSG00000099797,,,,
ENSG00000117091,ENSG00000115841,ENSG00000063660,ENSG00000172765,ENSG00000164032,ENSG00000164574,ENSG00000118496,ENSG00000055208,ENSG00000078403,ENSG00000148153,ENSG00000129673,ENSG00000186017,,,,
ENSG00000026751,ENSG00000143891,ENSG00000178623,ENSG00000163864,ENSG00000138780,ENSG00000135077,ENSG00000112031,ENSG00000186625,ENSG00000148450,ENSG00000106804,ENSG00000184640,ENSG00000181666,,,,
ENSG00000143256,ENSG00000057935,ENSG00000157020,ENSG00000114126,ENSG00000138658,ENSG00000221886,ENSG00000092820,ENSG00000181472,ENSG00000107890,ENSG00000095303,ENSG00000225663,ENSG00000258405,,,,
ENSG00000152332,ENSG00000152518,ENSG00000144713,ENSG00000181804,ENSG00000145375,ENSG00000051596,ENSG00000164691,ENSG00000146425,ENSG00000172661,ENSG00000148297,ENSG00000152223,ENSG00000197497,,,,
ENSG00000117143,ENSG00000115970,ENSG00000144711,ENSG00000047457,ENSG00000077684,ENSG00000074276,ENSG00000122591,ENSG00000198719,ENSG00000148660,ENSG00000165688,ENSG00000196628,ENSG00000239961,,,,
ENSG00000143183,ENSG00000138078,ENSG00000170876,ENSG00000152580,ENSG00000059691,ENSG00000169220,ENSG00000105926,ENSG00000008018,ENSG00000148655,ENSG00000107331,ENSG00000101311,ENSG00000127903,,,,
ENSG00000197965,ENSG00000068784,ENSG00000188846,ENSG00000114796,ENSG00000164105,ENSG00000146054,ENSG00000050344,ENSG00000105963,ENSG00000184719,ENSG00000177225,ENSG00000088356,ENSG00000131845,,,,
ENSG00000143155,ENSG00000143933,ENSG00000181061,ENSG00000175182,ENSG00000168556,ENSG00000112293,ENSG00000146592,ENSG00000106266,ENSG00000107521,ENSG00000130598,ENSG00000101337,ENSG00000197128,,,,
ENSG00000117475,ENSG00000115239,ENSG00000249992,ENSG00000145012,ENSG00000173320,ENSG00000112304,ENSG00000105778,ENSG00000136238,ENSG00000186862,ENSG00000166800,ENSG00000101346,ENSG00000152439,,,,
ENSG00000117479,ENSG00000085760,ENSG00000132153,ENSG00000163960,ENSG00000151725,ENSG00000186470,ENSG00000006451,ENSG00000122643,ENSG00000107872,ENSG00000166801,ENSG00000131043,ENSG00000083814,,,,
ENSG00000117523,ENSG00000173209,ENSG00000114270,ENSG00000075711,ENSG00000145545,ENSG00000096654,ENSG00000122515,ENSG00000122557,ENSG00000196177,ENSG00000166902,ENSG00000124193,ENSG00000196724,,,,
ENSG00000135870,ENSG00000143951,ENSG00000173540,ENSG00000133256,ENSG00000082196,ENSG00000197238,ENSG00000132432,ENSG00000187037,ENSG00000111186,ENSG00000149503,ENSG00000124222,ENSG00000181894,,,,
ENSG00000235750,ENSG00000011523,ENSG00000214706,ENSG00000127419,ENSG00000113569,ENSG00000235109,ENSG00000158321,ENSG00000136286,ENSG00000151065,ENSG00000175115,ENSG00000070404,ENSG00000278129,,,,
ENSG00000143207,ENSG00000115977,ENSG00000243477,ENSG00000214367,ENSG00000172244,ENSG00000204482,ENSG00000188372,ENSG00000106609,ENSG00000184574,ENSG00000174165,ENSG00000105355,ENSG00000131849,,,,
ENSG00000116199,ENSG00000116005,ENSG00000145050,ENSG00000123933,ENSG00000164172,ENSG00000023892,ENSG00000187391,ENSG00000106665,ENSG00000171681,ENSG00000173914,ENSG00000080573,ENSG00000249471,,,,
ENSG00000143322,ENSG00000115282,ENSG00000114767,ENSG00000132405,ENSG00000049883,ENSG00000112599,ENSG00000160991,ENSG00000158517,ENSG00000172572,ENSG00000173599,ENSG00000011451,ENSG00000070413,,,,
ENSG00000162783,ENSG00000115318,ENSG00000023330,ENSG00000048342,ENSG00000205464,ENSG00000153291,ENSG00000161057,ENSG00000127946,ENSG00000064102,ENSG00000172663,ENSG00000105640,ENSG00000133422,,,,
ENSG00000143333,ENSG00000159374,ENSG00000163938,ENSG00000064042,ENSG00000145725,ENSG00000096093,ENSG00000135249,ENSG00000008277,ENSG00000174718,ENSG00000006534,ENSG00000006016,ENSG00000159267,,,,
ENSG00000116698,ENSG00000168887,ENSG00000163932,ENSG00000124406,ENSG00000146021,ENSG00000111850,ENSG00000091129,ENSG00000177409,ENSG00000179715,ENSG00000110090,ENSG00000186010,ENSG00000182093,,,,
ENSG00000116667,ENSG00000153561,ENSG00000136068,ENSG00000135605,ENSG00000171604,ENSG00000135336,ENSG00000106344,ENSG00000160908,ENSG00000111405,ENSG00000165434,ENSG00000105707,ENSG00000182362,,,,
ENSG00000116406,ENSG00000115042,ENSG00000184220,ENSG00000084093,ENSG00000176049,ENSG00000135537,ENSG00000064393,ENSG00000085514,ENSG00000211584,ENSG00000170145,ENSG00000028277,,,,,
ENSG00000135842,ENSG00000168763,ENSG00000114021,ENSG00000145241,ENSG00000145882,ENSG00000135596,ENSG00000157800,ENSG00000198839,ENSG00000152556,ENSG00000109929,ENSG00000104859,,,,,
ENSG00000121481,ENSG00000144199,ENSG00000154174,ENSG00000138764,ENSG00000155846,ENSG00000152818,ENSG00000006530,ENSG00000128585,ENSG00000196465,ENSG00000110002,ENSG00000125744,,,,,
ENSG00000116679,ENSG00000040933,ENSG00000174173,ENSG00000163297,ENSG00000132915,ENSG00000164674,ENSG00000164897,ENSG00000085662,ENSG00000139613,ENSG00000149548,ENSG00000104974,,,,,
ENSG00000073756,ENSG00000183513,ENSG00000114391,ENSG00000173083,ENSG00000204767,ENSG00000130023,ENSG00000205755,ENSG00000122783,ENSG00000185482,ENSG00000174370,ENSG00000171606,,,,,
ENSG00000116741,ENSG00000144061,ENSG00000114455,ENSG00000198189,ENSG00000170085,ENSG00000002822,ENSG00000087842,ENSG00000080802,ENSG00000111087,ENSG00000151498,ENSG00000100372,,,,,
ENSG00000134371,ENSG00000153208,ENSG00000121579,ENSG00000163106,ENSG00000113763,ENSG00000122687,ENSG00000130985,ENSG00000006459,ENSG00000111145,ENSG00000198879,ENSG00000100403,,,,,
ENSG00000081237,ENSG00000153214,ENSG00000151576,ENSG00000138814,ENSG00000027847,ENSG00000215045,ENSG00000102226,ENSG00000170379,ENSG00000110876,ENSG00000148444,ENSG00000100227,,,,,
ENSG00000162702,ENSG00000188177,ENSG00000138495,ENSG00000164039,ENSG00000050748,ENSG00000086289,ENSG00000102103,ENSG00000196329,ENSG00000119242,ENSG00000108100,ENSG00000141959,,,,,
ENSG00000118200,ENSG00000144134,ENSG00000175697,ENSG00000123739,ENSG00000112699,ENSG00000241127,ENSG00000102144,ENSG00000033100,ENSG00000073910,ENSG00000133678,ENSG00000228253,,,,,
ENSG00000143862,ENSG00000080293,ENSG00000175792,ENSG00000138688,ENSG00000180822,ENSG00000168303,ENSG00000102034,ENSG00000165195,ENSG00000150907,ENSG00000189129,ENSG00000198899,,,,,
ENSG00000257315,ENSG00000088179,ENSG00000179348,ENSG00000181004,ENSG00000168566,ENSG00000106605,ENSG00000156504,ENSG00000102172,ENSG00000173988,ENSG00000107779,,,,,,
ENSG00000158615,ENSG00000136715,ENSG00000181789,ENSG00000151458,ENSG00000188428,ENSG00000136206,ENSG00000197021,ENSG00000130066,ENSG00000152207,ENSG00000119986,,,,,,
ENSG00000263528,ENSG00000072135,ENSG00000144867,ENSG00000164074,ENSG00000112312,ENSG00000185811,ENSG00000198910,ENSG00000005889,ENSG00000186047,ENSG00000188316,,,,,,
ENSG00000266094,ENSG00000075884,ENSG00000196428,ENSG00000164040,ENSG00000124610,ENSG00000106077,ENSG00000169057,ENSG00000189221,ENSG00000129467,ENSG00000198825,,,,,,
ENSG00000143479,ENSG00000162980,ENSG00000144895,ENSG00000151470,ENSG00000275714,ENSG00000164713,ENSG00000071859,ENSG00000126759,ENSG00000129465,ENSG00000110799,,,,,,
ENSG00000162889,ENSG00000078098,ENSG00000168827,ENSG00000109381,ENSG00000278705,ENSG00000106246,ENSG00000214827,ENSG00000126012,ENSG00000129515,ENSG00000023697,,,,,,
ENSG00000162897,ENSG00000082438,ENSG00000163584,ENSG00000179387,ENSG00000278463,ENSG00000106290,ENSG00000104635,ENSG00000102393,ENSG00000100504,ENSG00000139132,,,,,,
ENSG00000180667,ENSG00000073737,ENSG00000136522,ENSG00000170365,ENSG00000180596,ENSG00000197093,ENSG00000131203,ENSG00000101974,ENSG00000131969,ENSG00000139173,,,,,,
ENSG00000196352,ENSG00000163093,ENSG00000145191,ENSG00000164169,ENSG00000168298,ENSG00000213420,ENSG00000008988,ENSG00000147403,ENSG00000078304,ENSG00000005175,,,,,,
ENSG00000008118,ENSG00000239474,ENSG00000114867,ENSG00000137460,ENSG00000158373,ENSG00000066923,ENSG00000198363,ENSG00000126903,ENSG00000179627,ENSG00000061273,,,,,,
ENSG00000196878,ENSG00000018510,ENSG00000058866,ENSG00000145431,ENSG00000277157,ENSG00000239521,ENSG00000137571,ENSG00000124333,ENSG00000185024,ENSG00000086159,,,,,,
ENSG00000123689,ENSG00000170035,ENSG00000198836,ENSG00000145476,ENSG00000277224,ENSG00000106367,ENSG00000067167,ENSG00000179388,ENSG00000186399,ENSG00000185591,,,,,,
ENSG00000117594,ENSG00000064989,ENSG00000041802,ENSG00000154122,ENSG00000273802,ENSG00000170632,ENSG00000076554,ENSG00000137575,ENSG00000128829,ENSG00000123415,,,,,,
ENSG00000123684,ENSG00000151687,ENSG00000168924,ENSG00000242110,ENSG00000277075,ENSG00000106348,ENSG00000164823,ENSG00000076641,ENSG00000128872,ENSG00000166886,,,,,,
ENSG00000123685,ENSG00000128694,ENSG00000087269,ENSG00000198865,ENSG00000124575,ENSG00000128604,ENSG00000147649,ENSG00000156482,ENSG00000197535,ENSG00000127334,,,,,,
ENSG00000118873,ENSG00000187699,ENSG00000109133,ENSG00000151883,ENSG00000274618,ENSG00000106477,ENSG00000153310,ENSG00000104375,ENSG00000069943,ENSG00000179941,,,,,,
ENSG00000162817,ENSG00000065413,ENSG00000109171,ENSG00000177058,ENSG00000275713,ENSG00000155530,ENSG00000042832,ENSG00000070756,ENSG00000140262,ENSG00000111144,,,,,,
ENSG00000143514,ENSG00000119042,ENSG00000174799,ENSG00000095015,ENSG00000276180,ENSG00000106479,ENSG00000184489,ENSG00000136960,ENSG00000140416,ENSG00000076248,,,,,,
ENSG00000143756,ENSG00000064012,ENSG00000128050,ENSG00000113595,ENSG00000197903,ENSG00000171130,ENSG00000104529,ENSG00000178764,ENSG00000185088,ENSG00000110921,,,,,,
ENSG00000143753,ENSG00000138439,ENSG00000174780,ENSG00000145675,ENSG00000278828,ENSG00000106526,ENSG00000260428,ENSG00000178719,ENSG00000140332,ENSG00000139436,,,,,,
ENSG00000143771,ENSG00000163596,ENSG00000138758,ENSG00000249437,ENSG00000233822,ENSG00000127399,ENSG00000197646,ENSG00000170619,ENSG00000140471,ENSG00000196510,,,,,,
ENSG00000143751,ENSG00000138380,ENSG00000152795,ENSG00000157107,ENSG00000275379,ENSG00000073464,ENSG00000137154,ENSG00000107249,ENSG00000257108,ENSG00000135116,,,,,,
ENSG00000143761,ENSG00000144401,ENSG00000164022,ENSG00000145703,ENSG00000275126,ENSG00000047648,ENSG00000137074,ENSG00000147896,ENSG00000103351,ENSG00000174989,,,,,,
ENSG00000143774,ENSG00000138413,ENSG00000198856,ENSG00000171643,ENSG00000197153,ENSG00000046653,ENSG00000159921,ENSG00000147894,ENSG00000103540,ENSG00000110871,,,,,,
ENSG00000181873,ENSG00000115425,ENSG00000109534,ENSG00000145687,ENSG00000137337,ENSG00000124486,ENSG00000135047,ENSG00000107201,ENSG00000149927,ENSG00000089094,,,,,,
ENSG00000154370,ENSG00000079308,ENSG00000123737,ENSG00000151422,ENSG00000204410,ENSG00000171657,ENSG00000123975,ENSG00000122692,ENSG00000180035,ENSG00000185684,,,,,,
ENSG00000135801,ENSG00000163482,ENSG00000138709,ENSG00000112893,ENSG00000124733,ENSG00000204271,ENSG00000187764,ENSG00000106829,ENSG00000229809,ENSG00000090612,,,,,,
ENSG00000119280,ENSG00000198925,ENSG00000164134,ENSG00000133835,ENSG00000044090,ENSG00000186787,ENSG00000165233,ENSG00000188938,ENSG00000197162,ENSG00000172766,,,,,,
ENSG00000116903,ENSG00000115661,ENSG00000164162,ENSG00000112983,ENSG00000112651,ENSG00000126970,ENSG00000158122,ENSG00000196116,ENSG00000102893,ENSG00000125246,,,,,,
ENSG00000054267,ENSG00000135932,ENSG00000164163,ENSG00000113552,ENSG00000196284,ENSG00000090776,ENSG00000023318,ENSG00000198121,ENSG00000125107,ENSG00000134897,,,,,,
ENSG00000168243,ENSG00000135931,ENSG00000151612,ENSG00000145819,ENSG00000146072,ENSG00000196440,ENSG00000136897,ENSG00000059769,ENSG00000103042,ENSG00000139908,,,,,,
ENSG00000077585,ENSG00000144524,ENSG00000171497,ENSG00000170271,ENSG00000112118,ENSG00000198932,ENSG00000136826,ENSG00000176386,ENSG00000168286,ENSG00000187790,,,,,,
ENSG00000077522,ENSG00000196811,ENSG00000145414,ENSG00000113328,ENSG00000096092,ENSG00000125354,ENSG00000106853,ENSG00000136807,ENSG00000196436,ENSG00000070269,,,,,,
ENSG00000117009,ENSG00000221944,ENSG00000198498,ENSG00000176783,ENSG00000001084,ENSG00000235961,ENSG00000095397,ENSG00000136816,ENSG00000108963,ENSG00000133935,,,,,,
ENSG00000054277,ENSG00000168918,ENSG00000109466,ENSG00000113300,ENSG00000112208,ENSG00000129422,ENSG00000167110,ENSG00000187239,ENSG00000091592,ENSG00000100565,,,,,,
ENSG00000203668,ENSG00000115648,ENSG00000181381,ENSG00000131446,ENSG00000112210,ENSG00000241852,ENSG00000148344,ENSG00000160271,ENSG00000004975,ENSG00000165533,,,,,,
ENSG00000143702,ENSG00000065802,ENSG00000129128,ENSG00000124570,ENSG00000146143,ENSG00000120903,ENSG00000177105,ENSG00000160293,ENSG00000239697,ENSG00000066427,,,,,,
ENSG00000117020,ENSG00000142327,ENSG00000182552,ENSG00000137274,ENSG00000118420,ENSG00000147475,ENSG00000255823,ENSG00000165802,ENSG00000178971,ENSG00000012963,,,,,,
ENSG00000173728,ENSG00000114026,ENSG00000028310,ENSG00000198721,ENSG00000146263,ENSG00000020181,ENSG00000129083,ENSG00000185507,ENSG00000187607,ENSG00000128928,,,,,,
ENSG00000121644,ENSG00000171148,ENSG00000150753,ENSG00000047579,ENSG00000164494,ENSG00000156675,ENSG00000110696,ENSG00000132109,ENSG00000141040,ENSG00000103995,,,,,,
ENSG00000153187,ENSG00000214021,ENSG00000154153,ENSG00000137198,ENSG00000173214,ENSG00000104205,ENSG00000110700,ENSG00000166471,ENSG00000141034,ENSG00000138587,,,,,,
ENSG00000162711,ENSG00000163702,ENSG00000113389,ENSG00000137414,ENSG00000146426,ENSG00000178460,ENSG00000134333,ENSG00000148925,ENSG00000087111,ENSG00000171914,,,,,,
ENSG00000171863,ENSG00000131374,ENSG00000039560,ENSG00000010704,ENSG00000029639,ENSG00000147592,ENSG00000135373,ENSG00000110756,ENSG00000167525,ENSG00000241839,,,,,,
ENSG00000134326,ENSG00000163513,ENSG00000168724,ENSG00000198315,ENSG00000130338,ENSG00000183665,ENSG00000110435,ENSG00000110768,ENSG00000167543,ENSG00000074696,,,,,,
ENSG00000134321,ENSG00000153551,ENSG00000039123,ENSG00000137185,ENSG00000175003,ENSG00000168672,ENSG00000165916,ENSG00000179119,ENSG00000176927,ENSG00000074621,,,,,,
ENSG00000151693,ENSG00000168016,ENSG00000155542,ENSG00000204348,ENSG00000164850,ENSG00000184428,ENSG00000166900,ENSG00000176148,ENSG00000185158,ENSG00000169758,,,,,,
ENSG00000151694,ENSG00000144677,ENSG00000086189,ENSG00000213676,ENSG00000164880,ENSG00000158106,ENSG00000013725,ENSG00000110422,ENSG00000172057,ENSG00000183496,,,,,,
ENSG00000134318,ENSG00000187091,ENSG00000134056,ENSG00000235863,ENSG00000078967,ENSG00000147813,ENSG00000167986,ENSG00000149089,ENSG00000187595,ENSG00000140443,,,,,,
ENSG00000079785,ENSG00000168032,ENSG00000085231,ENSG00000237441,ENSG00000146733,ENSG00000196378,ENSG00000149483,ENSG00000121671,ENSG00000168591,ENSG00000162032,,,,,,
ENSG00000240857,ENSG00000114853,ENSG00000164338,ENSG00000112514,ENSG00000234444,ENSG00000107099,ENSG00000149480,ENSG00000121680,ENSG00000181513,ENSG00000167965,,,,,,
ENSG00000119778,ENSG00000179152,ENSG00000152413,ENSG00000186577,ENSG00000009954,ENSG00000137038,ENSG00000173486,ENSG00000175213,ENSG00000186868,ENSG00000167969,,,,,,
ENSG00000198399,ENSG00000185219,ENSG00000164300,ENSG00000272325,ENSG00000006704,ENSG00000177076,ENSG00000068971,ENSG00000149476,ENSG00000002919,ENSG00000118898,,,,,,
ENSG00000084733,ENSG00000196345,ENSG00000186468,ENSG00000065029,ENSG00000263001,ENSG00000164978,ENSG00000142186,ENSG00000162191,ENSG00000121104,ENSG00000186260,,,,,,
ENSG00000138018,ENSG00000186448,ENSG00000164180,ENSG00000112079,ENSG00000198556,ENSG00000147912,ENSG00000173933,ENSG00000110046,ENSG00000141219,ENSG00000166783,,,,,,
ENSG00000084764,ENSG00000169964,ENSG00000153037,ENSG00000198663,ENSG00000146826,ENSG00000165275,ENSG00000173653,ENSG00000168062,ENSG00000189159,ENSG00000103319,,,,,,
ENSG00000163795,ENSG00000163812,ENSG00000184838,ENSG00000124641,ENSG00000106351,ENSG00000215126,ENSG00000118363,ENSG00000174903,ENSG00000125454,ENSG00000280789,,,,,,
ENSG00000084734,ENSG00000144791,ENSG00000158987,ENSG00000171611,ENSG00000128581,ENSG00000148120,ENSG00000110172,ENSG00000214530,ENSG00000169660,ENSG00000103502,,,,,,
ENSG00000171174,ENSG00000163820,ENSG00000072682,ENSG00000137161,ENSG00000260097,ENSG00000196312,ENSG00000110218,ENSG00000033327,ENSG00000132199,ENSG00000149930,,,,,,
