module,AM10_AM_Media,AM10_AM_TB,AM12_AM_Media,AM12_AM_TB,AM15_AM_Media,AM15_AM_TB,AM17_AM_Media,AM17_AM_TB,AM18_AM_Media,AM18_AM_TB,AM19_AM_Media,AM19_AM_TB
module_AM_00,0.13154891609148625,-0.5375500686916495,-1.1894272137511699,-0.7317447924753554,-0.15269648512174283,-0.1932993256270205,-0.8280658493151268,-0.31467646536370697,-0.7119589531798021,-0.09959827396456802,0.38465762116656427,0.3553614252163485
module_AM_01,4.4712133135715755,5.692667526921457,4.5299597515485965,5.921241553188381,4.494953830653632,6.046556291009,4.4028490654747365,5.750884852782379,4.477714163376702,6.048120556425391,4.668992699869949,5.61859440151402
module_AM_02,4.517858819287634,4.131232487724536,4.691108049111985,4.39604625217322,4.7058617747856815,4.17553938307913,4.788336080863576,4.4422282858029645,4.7417498084253475,4.293453659641633,4.152894960373939,3.7534539207319293
module_AM_03,5.6833142177094516,6.1756851602610165,5.289146260576113,5.894928533058508,5.1532968918777575,6.1156704925420025,4.9145180272052595,5.602527288247585,5.1477942409180955,6.017152705944285,6.046974032462155,6.512089075667817
module_AM_04,3.5284730881681696,3.1587358927099176,3.592357763031431,3.202058907530137,3.89816535283053,3.160711144523348,4.221798805200686,3.8197024034284417,3.929492472297503,3.3153487043840637,3.482326391837634,3.0573553949981043
module_AM_05,4.99861023119193,5.504632226349467,5.184131710258656,5.629167167476848,5.111915614743649,5.822730324729505,4.622193412634332,5.118213324130008,5.059639708589006,5.649136969962065,5.066463068053707,5.448704224093493
module_AM_06,4.169355973268067,3.823074239597875,4.178611049234109,3.689226972826946,3.967138699868774,3.4091739091753417,4.075724382061466,3.6375656177348263,4.014623627112934,3.4078404230887998,4.147528833552116,3.8677278480516537
module_AM_07,4.417063521998737,3.9689279233331516,4.327156438675219,3.8555874627696416,4.459819050456695,3.702189440610027,4.471239891347512,4.0475451815937324,4.487180004789353,3.9280301751445896,4.130969887415472,3.8436033936590572
module_AM_08,5.497544118299541,6.006140196437457,5.927283793982646,6.49022669813996,5.897405898388989,6.418509114837421,5.909350511614177,6.378335837268686,5.878932608052029,6.399273582095578,5.277722949917032,5.60586820663733
module_AM_09,3.8807158539575997,3.4693363272851223,3.8700382944990395,3.3927429733824246,3.7311430004749706,3.0291023505967285,4.137828429397089,3.79870985712689,3.9899145318509204,3.5588221822438357,4.055700719585331,3.7616557938531194
module_AM_10,5.174458581253954,5.619019860844626,5.160749223012692,5.634363338765085,4.810693069394757,5.518735171026922,4.706704249315234,5.213378795758356,4.591236603063146,5.289742571580463,5.016004940519481,5.437286162386299
module_AM_11,4.4844091914268365,4.127828886424792,3.9963226835999204,3.3989745795954094,4.035846413445695,3.431958855877722,4.047929289795479,3.656055700657548,4.080433189324522,3.591504188971079,4.596719734910464,4.332077249408971
module_AM_12,3.787896080223968,3.4206051732458898,3.468687755022157,2.9656367717828456,3.973546336129699,3.4015126110257463,3.5966888644641593,3.17418839133461,3.80344224914893,3.232914630902769,3.2842526518261117,2.92782674003473
module_AM_13,4.332502528626946,4.749136354636755,4.073313670889776,4.495966205277584,4.387828101070181,4.94862513896276,4.329851849890416,4.797122284835495,4.350549822797537,4.842927405869657,4.8962032064614744,5.206463389196665
module_AM_14,4.111294271740716,4.655804047292271,4.285637927526268,4.901723426797065,4.636164793334178,5.270909668509488,4.7740698622968765,5.28441488439319,4.597288520527466,5.175825810782552,4.4059786465669735,4.730172268199558
module_AM_15,3.2662654156702033,2.8410053887751143,2.7786683773196508,2.302589325436942,3.4227872234960612,2.68907992645401,3.391922738991945,2.9782373003266107,3.457106195072713,2.8450516649141497,3.257295539118402,2.9609067950476526
module_AM_16,3.468293191042181,3.0950275021373668,3.517064995877585,3.108368337952345,3.6167800261321372,3.0161373743875393,3.82531877941998,3.4384896721324094,3.2411887468800464,2.601119529543775,3.4368470063031427,3.094527615238703
module_AM_17,4.1710088501132745,3.876276707444787,3.8990166464319964,3.368492125109057,4.194948536157395,3.6407027111529318,3.5723867569765164,3.1077402103174308,4.166953266048257,3.6827877072810233,4.13672235557687,3.7880143427479793
module_AM_18,4.7005958253350535,4.391270169635057,4.773824754531608,4.466982529039735,4.68731818075313,4.2409490584780585,4.449307305052775,4.0835855788807445,4.720131228445668,4.367420094961867,4.589571266076941,4.380367665502897
module_AM_19,3.583297885414453,4.258615282478757,2.52510839172635,3.658388449406546,2.336522623353147,3.701685937827124,3.0814150863282608,3.9265260434004063,3.326564165492776,4.260547081315464,3.9524120632693687,4.564074096146969
module_AM_20,4.59339355033321,5.044815110104132,4.841171470336715,5.372287985289124,4.585694798280913,5.004379261023194,4.801632664982177,5.355699591087188,4.7566742940694455,5.2574180599150395,5.162942402788932,5.425023308293498
module_AM_21,3.3958722067808744,3.9756889742903128,3.3088270420528554,3.8440083668109692,2.7529504490281562,3.603221435790535,3.5621762190147797,4.2705209345064725,3.048085691850047,3.856734942368394,3.140416810346394,3.6905573877038966
module_AM_22,4.2404913012582925,3.8353838179760835,4.3016936032876965,4.1044962613635825,4.531077437768615,3.9968380739802396,3.8810076116852734,3.5974267111723295,4.399854614586339,3.907375040095173,3.860641961993053,3.4371107772352496
module_AM_23,4.7087463878953155,4.4092279314061225,5.05609338342264,4.722931738674179,4.790269592329478,4.249952433619236,4.7069153895072455,4.361709372208864,4.708384308551773,4.368276783868828,4.478414256586261,4.178206941032886
